State,District,Crop,Year,Season,Area,Area Units,Production,Production Units,Yield
Andaman and Nicobar1 Islands,NICOBARS,Arecanut,2001-02,Kharif,1,Hectare,2061.0,Tonnes,1.6435406698564594
Andaman and Nicobar2 Islands,NICOBARS,Arecanut,2001-02,Kharif,2, Hectare,2061.0,Tonnes,1.6435406698564594
Andaman and Nicobar3 Islands,NICOBARS,Arecanut,2001-02,Kharif,100.0,Hectare,2061.0,Tonnes,1.6435406698564594
Andaman and Nicobar4 Islands,NICOBARS,Arecanut,2001-02,Kharif,1000.0,Hectare,2061.0,Tonnes,1.6435406698564594
Andaman and Nicobar1 Islands,NICOBARS,Arecanut,2001-02,Kharif,10000.0,Hectare,2061.0,Tonnes,1.6435406698564594
Andaman and Nicobar3 Islands,NICOBARS,Arecanut,2001-02,Kharif,100.0,Hectare,2061.0,Tonnes,1.6435406698564594
Andaman and Nicobar3 Islands,NICOBARS,Arecanut,2001-02,Kharif,100.0,Hectare,2061.0,Tonnes,1.6435406698564594
Andaman and Nicobar3 Islands,NICOBARS,Arecanut,2001-02,Kharif,100.0,Hectare,2061.0,Tonnes,1.6435406698564594
Andaman and Nicobar3 Islands,NICOBARS,Arecanut,2001-02,Kharif,100.0,Hectare,2061.0,Tonnes,1.6435406698564594
Andaman and Nicobar3 Islands,NICOBARS,Arecanut,2001-02,Kharif,100.0,Hectare,2061.0,Tonnes,1.6435406698564594
test Islands,NICOBARS,Arecanut,2001-02,Kharif,10000.0,Hectare,2061.0,Tonnes,1.6435406698564594
test Islands,NICOBARS,Arecanut,2001-02,Kharif,10000.0,Hectare,2061.0,Tonnes,1.6435406698564594
test Islands,NICOBARS,Arecanut,2001-02,Kharif,10000.0,Hectare,2061.0,Tonnes,1.6435406698564594
test Islands,NICOBARS,Arecanut,2001-02,Kharif,10000.0,Hectare,2061.0,Tonnes,1.6435406698564594
test Islands,NICOBARS,Arecanut,2001-02,Kharif,10000.0,Hectare,2061.0,Tonnes,1.6435406698564594
test Islands,NICOBARS,Arecanut,2001-02,Kharif,10000.0,Hectare,2061.0,Tonnes,1.6435406698564594
test Islands,NICOBARS,Arecanut,2001-02,Kharif,10000.0,Hectare,2061.0,Tonnes,1.6435406698564594
test Islands,NICOBARS,Arecanut,2001-02,Kharif,10000.0,Hectare,2061.0,Tonnes,1.6435406698564594
test Islands,NICOBARS,Arecanut,2001-02,Kharif,10000.0,Hectare,2061.0,Tonnes,1.6435406698564594
test Islands,NICOBARS,Arecanut,2001-02,Kharif,10000.0,Hectare,2061.0,Tonnes,1.6435406698564594
test Islands,NICOBARS,Arecanut,2001-02,Kharif,10000.0,Hectare,2061.0,Tonnes,1.6435406698564594
test Islands,NICOBARS,Arecanut,2001-02,Kharif,10000.0,Hectare,2061.0,Tonnes,1.6435406698564594
test Islands,NICOBARS,Arecanut,2001-02,Kharif,10000.0,Hectare,2061.0,Tonnes,1.6435406698564594
test Islands,NICOBARS,Arecanut,2001-02,Kharif,10000.0,Hectare,2061.0,Tonnes,1.6435406698564594
test Islands,NICOBARS,Arecanut,2001-02,Kharif,10000.0,Hectare,2061.0,Tonnes,1.6435406698564594
test Islands,NICOBARS,Arecanut,2001-02,Kharif,10000.0,Hectare,2061.0,Tonnes,1.6435406698564594
test Islands,NICOBARS,Arecanut,2001-02,Kharif,10000.0,Hectare,2061.0,Tonnes,1.6435406698564594
test Islands,NICOBARS,Arecanut,2001-02,Kharif,10000.0,Hectare,2061.0,Tonnes,1.6435406698564594
